"Symbol","Gene_Symbol","TR.MC.3","TR.MC.2","TR.MC.1","NCM.2","NCM.1","DC.3","DC.2","DC.1"
"ENSMUSG00000039556","Ppp1r3f",0.185971742,0.192056738,0.112597473,0,0,0.071404727,0.060462588,0.324899189
"ENSMUSG00000039545","Ppp1r3fos",0.247962323,0.192056738,0.450389891,0,0,0.571237819,0.423238119,0.194939513
"ENSMUSG00000050423","Ppp1r3g",0,0.064018913,0,0,0,0,0,0
"ENSMUSG00000025916","Ppp1r42",5.765124012,5.953758883,6.924744578,0,1.163101168,0,0,0
"ENSMUSG00000026275","Ppp1r7",56.41142851,50.8310167,52.92081222,29.40878079,29.94985507,53.98197388,52.17921377,63.0304426
"ENSMUSG00000028882","Ppp1r8",12.77005964,10.94723408,11.09085107,16.3225769,7.923626706,11.85318474,12.63668097,11.04657241
"ENSMUSG00000032827","Ppp1r9a",2.045689166,2.880851073,3.209027975,3.728864549,21.08120867,0.142809455,0.36277553,0.324899189
"ENSMUSG00000038976","Ppp1r9b",12.64607848,15.6206147,11.76643591,14.21189885,18.24614957,15.70904002,16.44582404,12.60608852
"ENSMUSG00000020349","Ppp2ca",596.1634154,579.3711601,561.9176881,536.1122239,784.5117378,718.9741997,738.6714422,738.430876
"ENSMUSG00000009630","Ppp2cb",17.48134378,20.29399533,10.64046118,35.67045899,19.84541368,5.783782915,9.613551552,9.097177282
"ENSMUSG00000007564","Ppp2r1a",282.7390389,281.2991025,258.4674989,133.1837848,182.4614957,218.7126799,227.2184071,222.6859039
"ENSMUSG00000032058","Ppp2r1b",68.6855635,77.91101678,66.77030138,71.05949424,56.55579429,87.75640991,87.79167833,80.96487781
"ENSMUSG00000022052","Ppp2r2a",117.6581223,109.6003786,114.1175387,80.8389692,58.00967075,113.0336834,113.1859654,102.8630831
"ENSMUSG00000024500","Ppp2r2b",0.123981162,0.064018913,0.056298736,0,0,0,0.120925177,0
"ENSMUSG00000029120","Ppp2r2c",0,0,0,0.14071187,0,0.071404727,0,0.064979838
"ENSMUSG00000087487","Ppp2r2cos",0,0,0,0,0,0,0,0
"ENSMUSG00000041769","Ppp2r2d",63.16840181,59.40955101,52.35782486,36.30366241,57.13734487,47.7697626,49.39793471,55.55776126
"ENSMUSG00000043154","Ppp2r3a",10.29043641,9.538817996,9.458187717,3.236373005,15.19300901,8.925590919,10.76234073,8.837257931
"ENSMUSG00000021022","Ppp2r3c",50.6463045,41.29219871,46.55905501,45.80171362,13.88452019,39.77243313,45.52832905,48.53993879
"ENSMUSG00000093803","Ppp2r3d",8.430718986,10.5631206,9.739681399,2.462457721,12.72141902,7.568901099,8.101986843,7.082802313
"ENSMUSG00000026626","Ppp2r5a",173.2016827,204.9245396,112.1470829,543.9920886,547.457181,95.96795356,125.5807961,113.714716
"ENSMUSG00000024777","Ppp2r5b",21.75869385,23.87905445,19.64825901,0,2.398896159,14.78077856,12.87853133,13.06094738
"ENSMUSG00000017843","Ppp2r5c",117.3481694,133.2233574,112.2033817,257.2916539,220.8438343,145.879858,163.9745397,148.9987679
"ENSMUSG00000059409","Ppp2r5d",59.75891987,61.01002383,58.49438713,57.48079881,55.24730548,79.25924736,82.16865761,76.2863295
"ENSMUSG00000021051","Ppp2r5e",27.33784612,29.89683224,27.02339348,26.66489933,36.3469115,23.70636948,25.5152123,19.88383035
"ENSMUSG00000028161","Ppp3ca",203.8250296,217.2161709,203.9140233,154.1498534,138.6271205,149.8785227,148.1333415,146.2696147
